,Speaker,Speech,Date,Type,Gender,Party,Category
1300,SHRIMATI BUTTA RENUKA,"This Bill is aimed at tackling the menace  of taking deposit by luring people with the offer of attrac2tive returns.  The case in  point is Agri Gold and Akshaya Gold Scheme in Andhra Pradesh.  Through this  enactment  depositors  are  banned  from  promoting,  operating,  issuing  advertisements or accepting deposits in any unregulated deposit scheme.  The Bill  also contain penal provisions for attachment of properties for repayment to  depositors where such money is raised illegally.  The Bill offers clarity on the  nature of deposit scheme and classifies all deposit schemes.","Wednesday, February 13, 2019",Union Budget,F,YSR Congress,Neutral
1301,SHRI NISHIKANT DUBEY,"The 150th birth anniversary of Mahatma  Gandhi and the centenary of the Jalliawala Bagh happen to fall this year. Through  this Bill, some amendments have been made in respect of the Jalliawalan Bagh  Memorial Trust.  Earlier, President of the Congress party used to be the Trustee of  this trust which is not proper at all. This is a good Bill. Now, the Hon. Prime  Minister would be the President of this Trust and Secretary (Culture), the Chief  Minister and the Governor would be the members.  I would like to urge the  Congress party to welcome this Bill brought by this Government. ","Wednesday, February 13, 2019",Union Budget,M,BJP,Call For Action
1302,SHRI ARVIND SAWANT,"This Bill has been brought in with a view to  amending the Rules to Jallianwala Bagh Memorial Committee Trust.  It is not a  celebration.  When Sikhs were being subjected to assault way back in 1984, our  leader Bala Sahab had strictly warned not to hurt the Sikhs even to the least degree.   I welcome the Amendments moved by the Government.  Jallianwala Bagh is not  associated with any particular religion, faith or even a state for that matter.  This  episode inflicted pain across the country.  I support the Amendments moved  relating to the trustees of  Jallianwala Bagh Memorial Committee.","Wednesday, February 13, 2019",Union Budget,M,Shiv Sena,Appreciate
1303,SHRI PREM SINGH CHANDUMAJRA,"I am grateful to the Hon'ble  Minister of Home Affairs who took serious pains at his end to install the statue of  Shaheed Udham Singh at Jallianwala Bagh gate after 70 years sans being  subservient to the set of rules in place.  I would like to urge upon the Government  to confer Bharat Ratna on Shaheed Bhagat Singh.  I support the Jallianwala Bagh  National Memorial (Amendment) Bill, 2018 and compliment the Government for  this move.  At the same time, I would like to salute those martyrs and pay tribute to  them.","Wednesday, February 13, 2019",Union Budget,M,Shiromani Akali Dal,Neutral
1304,SHRI SUDIP BANDYOPADHYAY,"I rise to express our gratitude from  the core of our heart.  The Sixteenth Lok Sabha was full of excitement, tensions,  anxiety, agitations, few good quality speeches, few unwanted and unexpected  economic decisions and many other activities.  You have been successful in  bringing the situation under control.  Your patience is remarkable and  praiseworthy.  You stood up for us and gave opportunity to us on many occasions.   I do not know what will happen after elections.  I always want that you stay in  good health.  I am of the opinion that personal attachment will certainly continue.","Wednesday, February 13, 2019",Union Budget,M,TMC,Neutral
1305,SHRI MULAYAM SINGH YADAV,"It is a very difficult task to conduct  the business in the House.  But, you made successful attempt in running the House  in the best possible manner.  Hon. Prime Minister also made efforts to carry  everyone along.  Therefore, I congratulate him.  Everyone should participate in the  discussion in the House and everyone should also ensure that the House runs  smoothly.  ","Wednesday, February 13, 2019",Union Budget,M,SP,Appreciate
1306,SHRIMATI ANUPRIYA PATEL,"This Parliament is a great institution.  I  congratulate our Hon. Prime Minister for the passage of various important Bills.   The job of the Speaker is very difficult.  I represent the Other Backward Castes of  India. I only hope today that in the next Lok Sabha and in the subsequent Lok  Sabhas, the voices of the marginalized section of society will be heard.  India has  seen a tremendous leader and a dynamic Prime Minister in Narendra Modi Ji and  we have more of him to see in future.","Wednesday, February 13, 2019",Union Budget,F,TMC,Appreciate
1307,SHRI NISHIKANT DUBEY,"During the last five years, our Government  has been implementing the policies for the benefit of the villages, the poor, the  farmers, the exploited, the downtrodden, the middle class and the students and this  budget is the ultimate compliment to these policies.  This discussion is on the  Finance Bill, however, my predecessor was speaking on budget.  Such irrelevant  discussions dent the image of politicians.  Yesterday, the Floor Leader of a party  was saying that the Government is not releasing the report on black money  whereas the fact is that the Members of the Finance Committee can access the said  report.  The Economic Survey of 2004 said that the Vajpayee Government had  given a robust economy to the country.  The Economic Survey of 2014 says that  the preceding Government had left the economy of the country in a bad shape.   The Congress Party is constantly quoting the name of HAL whereas this is only a  company.  When the Modi Government came to power, it immediately constituted  the SIT  on black money.  The reason for black money generation in the country  was that the rates of income tax used to be very high.  If we want to develop, we  have to make our country a tax paying country.  MSME Sector has got the  maximum benefits from this Finance Bill.  This is the first Government ever to  thank the tax payers.  The theory of 'One Nation One Tax' is not a new theory but  we have got a Prime Minister for the first time who could implement this theory in  the form of GST.  This Finance Bill is going to benefit the middle-class, the poor  and the villages.  With these words, I support this Bill. ","Tuesday, February 12, 2019",Union Budget,M,BJP,Appreciate
1308,SHRI ARVIND SAWANT,"Under the reservation on economic basis,  people earning less than Rs. 8 lakh may avail benefit of reservation. Income tax  exemption limit should be increased up to Rs. 8 lakh instead of Rs. 5 lakh. One  thing is good that if someone purchases two houses after selling old house, then he  will not be taxed on capital gains of more than two crore rupees. Benefits of the  Pradhan Mantri Awas Yojana should be extended to the poor. Not only in rural  areas, there are many poor people in the cities also. Land of Mumbai Port Trust is  occupied by slums. There should be a policy for their redevelopment. We are  trying to outsource everything. We should come with a permanent solution, an  assured income. We are strangling PSUs. BSNL and MTNL took a loan of ten  thousand crore and since then they have been running in loss. Does the  Government have any policy which can strengthen them? PSU used to generate  employment. Today it is suffering losses and it is being said that they should be  given VRS. How can we generate employment then? We have come out with some  good schemes like Mudra loan but we should also check whether the schemes are  actually having an impact on the ground or not. How Ayushman Yojana and other  schemes will be extended to the poor, who will do it? It should be extended in a  way that when anyone having a BPL card goes directly to the hospital, he should  get free treatment under Ayushman Bharat. This is my suggestion. Do you know  why you do not have data on unemployment? In past, there used to be the Regional  Employment Exchanges. Data used to come from there. Overall, this Budget and  Finance Bill give the feeling of ‘Kabhi-Kabhi Khushi, Kabhi-Kabhi Gam.”","Tuesday, February 12, 2019",Union Budget,M,Shiv Sena,Neutral
1309,DR. BOORA NARSAIAH GOUD,"I take pride that under the leadership  of my hon. Chief Minister, the State of Telangana has become a role model for the  country in implementing various policies. Telangana state is implementing Rythu  Bandhu or 'Kisan Bandhu'.  It is an investment scheme for 60 lakh farmers where  per acre per year Rs.10000 are given.  Now, the Central Government has adopted it  in the form of PM Kisan Yojana. In my State, we have got one crore families, out  of which, 60 lakh families get Rs.2016 per month as pension at the age of 57 years  –not 60 years. For the physically disabled, Rs.3016 are given. We are the pioneers  in reducing the farmer’s input cost. Telangana is the only State which has MSP for  almost 11 crops. The good part of it is that the Government of India as also many  States are drawing inspiration from our State.  Regarding 'Sabka Saath, Sabka  Vikas' I must tell you that we have khali haath. For Kaleshwaram Project they did  not give anything. Telangana is the only State which gives to almost every  household potable tap water. We are implementing Mission Kakatiya to rejuvenate  46,000 tanks. NITI Aayog has said that since the Telangana State has done  excellently well, the Government of India should give Rs.23000 crore to them. But  we are khali haath. In the AP Reorganisation Act, there is a provision for giving  tax incentives in the backward districts of Telangana and also Andhra Pradesh. No  tax incentive has been given.  The hon. Finance Minister seems to have forgotten   50 per cent of Indian population i.e. OBC.  What is the amount that has been  provided for these people in the Budget? It is a meagre Rs. 1200 crore.  For around  60 lakh people belonging to the OBC only 1000 PG scholarships have been  announced. This Government accorded NCBC a constitutional status. I thank this  Government for that. But the Commission has not yet been constituted. What  prevents this Government from conducting a socio-economic survey so that we get  to know the real economic status of the people of the country? Nowhere in the  Constitution is it written that there is a cap of 50 per cent on reservation. I was one  of the Members to have introduced a Private Members’ Bill on reservation for  Economically Backward Sections.  I welcome the raising of the personal income  tax limit up to Rs. 5 lakh.  With these words, I support the Finance Bill.","Tuesday, February 12, 2019",Union Budget,M,BJP,Issue
1310,SHRI OM BIRLA,"By allocating more Budget for 13 Ministries especially  related with public affairs under this Finance Bill 2019-20, the Government has  shown its farsightedness.  In this country, it has been tried to provide assistance to  12 crore farmers through Pradhan Mantri Samman Nidhi.  The Government has  provided soil health card and brought 22 crops for the first time under Minimum  Support Price and increased it by 50 to 90 per cent.  Shram Yogi Yojana has been  introduced under which when a labourer is rendered incapable after 60 years of  age, he/she will get a pension of at least Rs. 3000/-.  For the first time this  Government has paid attention towards the Development of rural infrastructure and  under Pradhan Mantri Sadak Yojana a budget of Rs.19 thousand crore has been  allocated by covering 98 percent of the small villages and dhanis.  Through Mudra  Scheme girls have been made self reliant without any capital security guarantee.   About 50 crore poor Indians were not able to get medical treatment.  Ayushman  Bharat Scheme is such a scheme of India in the world under which each poor will  get medical treatment.  The middle class will get a tax rebate of income upto Rs.5  lakh.  For the first time provision for providing reservation to economically weaker  sections of the upper caste has been made.  Entire India has got a new direction  through this Budget.  This Budget will prepare new infrastructure for the  development of this country and will uplift the poor people of lower class.  ","Tuesday, February 12, 2019",Union Budget,M,BJP,Appreciate
1311,SHRI KAUSHALENDRA KUMAR,"I congratulate the hon. Minister of  Finance for understanding the issues of the middle class salaried people and  providing them maximum relief. Hence forth, person having annual income upto  Rs. 5 lakh will be exempted from paying any tax. Approximately three crore  existing tax payers will be benefited by it. Standard deduction has been raised from  Rs. 40 thousand to Rs. 50 thousand. It is a commendable step. The abundance of  benefits notwithstanding the revenue generation through income tax is estimated to  be approximately Rs. 13 lakh 80 thousand crore by the year 2020. I thank the hon.  Prime Minister for the code of conduct of 'Collective Efforts Inclusive Growth'  (Sabka Saath Sabka Vikas).","Tuesday, February 12, 2019",Union Budget,M,JDU,Appreciate
1312,SHRI RAJESH RAJAN,"The population of the country is almost one  hundred and thirty crores and the Government has made budgetary allocation of  rupees three thousand two hundred crores only for 'Ayushman Bharat Yojana'. I  am unable to understand for whom 'Ayushman Bharat Yojana' has been launched  and why? The Government has decreased the budgetary allocation for social  sector. There are six types of pension such as old age pension, widow pension and  disability pension. The Government has not increased the amount of the pension.  How long will the pension of Rs. 500 continue? The Government has deceased the  budgetary allocation for health and education. The Government is talking about  'MUDRA' and 'Jan Dhan Yojana' but their proper implementation is very  necessary. I would like to request for four-five things and one of these is  unemployment allowance for the unemployed youth. In this budget allocation for  irrigation and 'Namami Gange Yojana' has been decreased.  The history of India is  incomplete without the history of Bihar. Had the Government focused only on  tourism in Bihar, it would have been a great thing. Bihar is lagging behind in field  of tourism and the State Government of Bihar has also not worked on it. All sugar  mills and almost 35 jute mills are lying closed in my state. My areas, Kosi and  Simanchal were know for milk production. The jute factory in Katihar is also  closed. Had small-scale and cottage industries encouraged, the labourers of Bihar  would not have migrated. I request the Government to award special package to  Bihar to make it self-reliant in the field of small-scale industries. The area of Kosi  should be developed in the fields of maize industry and milk production and the  budgetary allocation meant for Bihar should be increased to get rid of flood and  drought.  I would like to request the Government that there is need to pay more  attention to the safety of women and the employment of  the youth. We need to pay  more attention towards these things otherwise we could not develop India.","Tuesday, February 12, 2019",Union Budget,M,RLP,Issue
1313,SHRI RAVINDRA KUMAR RAY,"The present Government is working  with a mission for the bright future of this country.  People from across the world  have come and taken a holy dip in the ongoing ‘Kumbh Mela’ and everyone is  saying that 80 percent water of the Ganga river has become pollution free.  Couple  of years earlier no one could ever imagine that the same Ganga would be flowing  uninterrupted and be pollution free.  Earlier yoga was not so popular but now the  world has accepted that Yoga is the contribution and a gift of India to the world.   The International Day of Yoga has been accepted by the whole world.  When this  Government came in power in 2014, the youth and farmers of the country were  feeling let down everywhere. There was feeling of desperation in people  everywhere.  But today India is being recognized worldwide.  The Government has  taken many steps like rolling out Swachch Bharat Mission, constructing toilets,  launching Jan-Dhan Yojana and opening medical colleges etc.  Earlier there were  just three medical colleges in my Parliamentary Constituency Jharkhand in the last  50-60 years but now 8 medical colleges have been opened within the span of four  years only.  Even AIIMS has been opened there.  Roads have been constructed in  every village under Pradhan Mantri Gram Sadak Yojana.  All this instilled a sense  of confidence in the farmers and the youth.  So, now India is going to be  prosperous in future and became world Guru once again.","Tuesday, February 12, 2019",Union Budget,M,BJP,Appreciate
1314,SHRI BHAGWANT MANN,"Unemployment is the biggest problem  facing the country.  However, nothing has been mentioned in this Finance Bill  about unemployment.  The slogans of ‘Make in India’ have been exposed to be  empty and hollow slogans as ‘Make in India’  has not been discussed in detail in  the Finance Bill.  In Punjab, farmers are in a pitiable condition.  The Swaminathan  Commission report is gathering dust and is not being implemented.  PM talked  about welfare of farmers in his speeches.  However, the farmers were left in the  lurch.  The backbone of small traders have been broken due to implementation of    GST and de-monetization.  These ill-conceived moves have devastated their  business.  Farmers are being promised Rs. 6000/-annually in their accounts. But  will such a paltry amount make any difference or remove the poverty of the  farmers?   In Punjab, the Congress Government had promised that they will waive  off loans of the farmers.  However, they have gone back on this promise.  Election  manifesto should be considered a legal, recorded document.  An empowered  committee should monitor its implementation.","Tuesday, February 12, 2019",Union Budget,M,AAP,Issue
1315,SHRI HARISHCHANDRA ALIAS HARISH DWIVEDI,"The budget of  our government under the leadership of the hon'ble Prime Minister is a growth  oriented budget. Central Government is going to implement ""Pradhan Mantri  Kisan Samman Nidhi Yojana"" to provide annual financial assistance of Rs. 6,000/-  to the 12 crore farmers having landholding of up to two hectares. Income up to Rs.  5 lakh has been made tax free. Labourers in the unorganised sector would be  provided monthly pension of Rs. 3000/- after completing the age of 60, for which  they have to make contribution of Rs. 100 per month. Gokul Mission Scheme has  been launched to promote animal husbandry in the rural areas. Budget allocation of  Rs. 3 lakh crore has been made for the defence sector, out of which maximum  amount is proposed to be utilized for procurement of new defence equipments.","Monday, February 11, 2019",Union Budget,M,BJP,Appreciate
1316,SHRIMATI SANTOSH AHLAWAT,"The budget of our Government is  based on the principle of 'Sabka Sath Sabka Vikas' and it is every person's budget.  It is budget of the poor, young people, farmers, middle class, small traders. It is a  budget of more than 3.5 crore middle class families. It is a budget of more than 12  crore farmers and 30 crore workers. It is a budget with right intention and a budget  for building a new India. The Government has increased MSP by 1.5 times and has  worked to ensure the availability of urea to farmers. The Government have started  Pradhan Mantri Kissan Samman Nidhi (PM-Kissan). The Government has  increased allocation of National Gokul Mission to Rs. 750.00 crores. It has been  decided to provide 2% rebate on interest to farmers engaged in Animal Husbandry  and Fishery. In case of natural calamity the farmers are unable to repay their loans,  their loans would be rescheduled and it has been decided to extend 2 per cent  interest rebate for the first year of the rescheduled loan. Maximum number of  soldiers in our Armed Force and Para Military Forces hails from my Parliamentary  Constituency, Jhunjhunu. For the first time ever the defence budget is crossing 3  lakh crore rupees. Almost each and every village of the country has been  connected with roads through Pradhan Mantri Grameen Sadak Yojana. Today poor  women are being provided with free Gas Connection under Ujjawala Yojana.  Ayushman Bharat Yojana is being started to provide high class free treatment to  poor. Government is working to provide electricity to each and every household of  the country. Today, around 2 crore 47 lakh households have been provided with  electricity connection under Pradhan Mantri Soubhagya Yojana.","Monday, February 11, 2019",Union Budget,F,BJP,Appreciate
1317,SHRI RAJESHBHAI CHUDASAMA,"The last budget of 16th Lok Sabha  is a prosperity and development oriented budget. When India celebrates its 75th  year of independence each and every one will have toilet facility, electricity, water  sewage connection and the farmers will have double income and it will be caste,  dynasty and terrorism free and an empowered country. We have reined in inflation.  We have brought in a radical change in the field of taxation by paving way for  Goods and Service Tax (GST). We have initiated a new era of transparency. We  have run a corruption free Government.","Monday, February 11, 2019",Union Budget,M,BJP,Appreciate
1318,SHRI SHARAD TRIPATHI,"The budget is going to prove a revolutionary  step for development and uplift of all sections of the society. The Pradhan Mantri  Kisan Sampada Yojana, one Rank-One-Pension Scheme for the defence personnel,  Skill Development Scheme and Khelo India for the youth are the major initiatives  of the Government. India has ranked 5th  in defence power with setting up 108  satellites in the space. I welcome these measures undertaken by the Government.","Monday, February 11, 2019",Union Budget,M,BJP,Appreciate
1319,SHRIMATI ANJU BALA,"The Government is moving forward to realise  the dream of 'New India' by the year 2022. Our economy is the fastest growing  economy in the word and achieved highest growth rate in these 5 years since the  economic reforms started in 1991. Today, India is the 6th largest economy. The  Government has successfully achieved highest growth rate, controlled two digit  inflation and maintained fiscal balance. India has also attracted huge FDI  amounting nearly 239 billion USD during the last 5 years. Last 5 years have seen  the fast infrastructural reforms and have paved the path for higher growth rate for  many coming decades. I am happy to know that the 22th AIIMS is going to be set- up in Haryana. Targeted development works are being carried out in 115 most  backward districts under Aspirational District Programme. For the first time, the  MSP of all 22 crops was announced at least 50% more than their input cost. The  government is going to launch a historical programme named Pradhan Mantri  Kisan Samman Nidhi PM-Kisan with annual outlay of Rs. 75 thousand crore to  ensure certain fixed income for small and marginal farmers. The Government has  taken decision to set up a separate department for fishery. New Pension Scheme  has been more libralised by increasing the share of government from 10% to 14%  while retaining the employees' share of 10%. The minimum wage for all category  employees has also increased by 42%.  42 crore workers of the un-organised sector  contribute nearly 50% in the total GDP of the country. The Government has  proposed to initiate a comprehensive pension programme named Pradhan Mantri  Shram Yogi Maandhan for these workers of unorganised sector. The Government  has also proposed to set up a Welfare Development Board under Social Justice and  Empowerment Ministry with the aims to implement welfare and development  programmes meant for denotified, nomadic and semi-nomadic communities. More  than 1 crore youths are being trained under PM Kaushal Vikas Yojana so that they  may earn their livelihood. All these efforts have made India world's second largest  start-up hub. The government has envisaged a national programme for Artificial  Intelligence and allied technologies so that its benefits reach masses. Many  effective measures have been taken to strengthen the small and medium  enterprises. The government has set up government e-market place two years ago.  The total transaction amounting Rs. 17,500 crore has been done through this GeM  and has resulted in average of savings of 25% to 28%. It is for the first time that  defence budget for 2019-20 is going to cross the Rs,3,00,000 crore. Now more than  100 airports are operational in the country. Domestic air traffic has grown two  times in the last 5 years. India has become fastest highways developer country in  the world. The railway passengers are getting world classes facilities with the  operation indigenously designed and manufactured semi-high speed train Vande- Bharat Express. The people of North-East region are also getting the benefits of  infrastructure development. The government is going to start containers cargo  transportation in the North-Eastern region through Brahmaputra by improving  navigation capacity of the river. For the first time, Arunachal Pradesh has made its  place on civil aviation map and Meghalaya, Tripura and Mizorm on India's railway  map. Now, India has become the largest data consumption country in the world.  The number of companies manufacturing mobile and mobile components has  increased from 2 to 268. The government has reduced the tax rate. The  implementation of GST of undoubtedly the biggest tax reform after independence.  The government in committed to wipeout the evil of black money. The  development in our government has transformed into mass movement. My  constituency Misrikh is one of the most backward areas in the country. It needs fast  development work. Last year also, I made a demand to construct an embankment  on the left bank on the river Ganga flowing from my constituency. There is a need  to construct ROBs and RUBs on all the unmanned level crossings there.   PROF. SAUGATA ROY: This year unemployment is at an all-time 45  years high, at 6.1 per cent.  National Sample Survey Organization data has not  been published.  The Government is not allowing them to publish the data on  unemployment which is at a very bad state.  Total Non-Performing Assets of the  banks have crossed rupees 11 and a half crore, an all-time high.  The Government  has not been able to bring back the people who fled with bank’s money.  The  Interim Finance Minister has presented an ‘Account for Votes’.  This is only a  vote-oriented Budget.  The Government has tried to apply ‘betadine’ to the wounds  created by demonetization.  Ultimately, the Government has not been able to bring  back black money into the system.  The Government has gone on changing the tax  rates as a result of which the GST collection this year is Rs. one lakh crore which  is less than  the previous budged.  The Andhra people have a justified demand for a  special category status, but that is not being listened to.  I would urge the  Government to announce something about it.  The Government has announced  Rs.6000 per year per family which comes to Rs.500 per month and Rs.17 per  family per day.  It is too little and too late.  Provident Fund-linked Pension Scheme  too does not sound promising at all. The Government has presented an  expansionary Budget and prioritized populism over fiscal prudence.  This Budget  is not showing any direction to the country.  The Government is not capable of  delivering a good economic system.  I oppose this Budget.","Monday, February 11, 2019",Union Budget,F,BJP,Appreciate
1320,SHRI VISHNU DAYAL RAM,"I am thankful that you have given me the  opportunity to speak on the Interim Budget dedicated to ""Prosperous Farmer  Healthy India"". Our Government has been successful in checking the double digit  inflation. Our Government has introduced a scheme to provide minimum income  of Rs. 6000 per annum to provide relief to small and marginal farmers. Our  Government has recovered three lakh crores rupees from big defaulter companies.  Electricity will be provided to all the 2.5 crores houses till March 2019, which are  deprived of it. The work of Saubhagya scheme is almost complete. The  Government has announced to increase the limit of gratuity from 10 lakh rupees to  20 lakh rupees.  Rupees 3000 per month will be given to the employees of  unorganised sector. Undeclared income of 1.30 lakh crore rupees has been detected  through steps taken by the Government including demonetisation to check the evils  of black money. There is a proposal to double the income tax rebate by increasing  it upto five lakh rupees to provide relief to middle class people. Three crore middle  class taxpayers will be benefitted by this proposal. The farmers who are facing  natural calamities will be given two percent interest subsidy and the farmers who  are repaying the loan in time will be given three percent interest subsidy to  overcome the crises in agricultural sector. The Government will provide 750 crore  rupees to help animal husbandry and fisheries. The Minimum Support Price for 22  notified crops has been fixed 50 percent more than the input cost. The Government  has sanctioned 15.56 lakh loans of 7.23 lakh crores of rupees under Mudra Yojana  and a major part of its beneficiaries are women. Six crore gas connections have  already been provided to poor women out of eight crore free LPG connections  under Ujjwala Yojana. At present 100 airports are operational in the country and  the traffic has doubled during the last five years. India is at the forefront in the  world in developing the highways. All the unmanned level crossings have been  abolished. A national programme on artificial intelligence will be introduced to  provide the benefit of artificial intelligence and the related technology to the  people. India has become the  maximum mobile data user country in the world.  One lakh villages will be made digital during the next five years. I believe that  equal focus has been given to all the sectors from agriculture to the basic  infrastructure in this Budget. This budget is beneficial for farmers and the common  men.","Monday, February 11, 2019",Union Budget,M,BJP,Appreciate
1321,SHRIMATI JAYSHREEBEN PATEL,"This Budget shall empower the  poor, strengthen the farmers, honour the labourers and fulfil the dreams of the  middle class.  This Budget will enhance the purchasing power of the middle class.   The IMF report of the year 2018 acknowledges India as the fastest growing  economy among the emerging economies of the world.  The global performance of  the country has increased and we have climbed to 71st position from 142nd position  in ease of doing business.  The gratuity limit along with income tax has been raised  from 10 lakh to 20 lakh rupees for common man.  Rs. 25 lakh income tax  exemption has been increased straight away.  26 weeks maternity leave for women  has been introduced.  Honourarium for Aanganwadi and Asha workers has been  increased by 50 per cent.  2 crore free gas connections would be provided under  Ujjwala scheme.  More than one crore youth have been given training under the  Pradhan Mantri Kaushal Vikas Yojana.  Impetus has been given to self  employment under Stand Up, Start Up India Schemes.  The number of airports  functioning under the Udaan Scheme has crossed 100 and the domestic passenger  traffic has doubled during the last five years.  27 Km highways are being  constructed daily.  This Government has provided for Rs. 35000 crore in the  Budget for One Rank One Pension Scheme.  Rs. 3000/- per month pension has  been provided for the workers/ labourers of the unorganized sector under the  pension scheme.  A new scheme called the Pradhan Mantri Kisan Samman Niti has  also been introduced.  This financial assistance scheme will benefit 12 crore small  and marginal farmers.  2 per cent rebate on interest on loan has also been given to  cattle rearing farmers.  A separate department of fisheries has been set up by the  Government to facilitate approximately 1.5 crore fishermen.  GST collection has  been increased by Rs. 12 lakh which has enhanced the number of tax payers up to  80 per cent.  Undeclared income of Rs. One lakh 30 thousand crore has been  brought under the ambit of Income Tax through laws on black money, the Fugitive  Economic Offenders, demonetization.  There has been 18 per cent increase in  direct tax collection.  RERA and Benami Transaction (Prohibition) Act have  brought transparency in the real estate sector.  Inflation rate has plummeted from  10 per cent to 4.5 per cent.  The Defence Budget has crossed Rs. 3 lakh crore for  the first time.  More than Rs. 6 crore have been allocated for the Railways and no  increase has been made in the passenger fare.  All unmanned crossings on  broadgauge network have been removed.  Semi high speed train ‘Vandebharat’ has  been introduced which is first indigenously developed long train.  More than Rs.  93 thousand crore and Rs. 11 thousand crore have been allocated for Shiksha  Yojana and Mid Day Meal Scheme respectively.  35.6 per cent and 28 per cent  increase has been made in the budgetary allocation for the Scheduled Castes and  Scheduled Tribes category respectively.","Monday, February 11, 2019",Union Budget,F,BJP,Appreciate
1322,SHRI NIHAL CHAND,"Our Government has, in the Interim Budget taken  care of every section of the country.  By providing relief to the farmers, labourers  and tax payers in the budget, our Government has opened new doors of  development for these people.  Prior to 2014 General Elections, the farmers, the  poor people, the labourers and the backward classes were struggling for their  existence and inflation had overburdened the common citizen.  In 2014 General  Elections, the people voted in favour of Bharatiya Janata Party Government and  showed faith in it regarding creation of a new India.  Our Government has stepped  up fast in the direction of fulfilling the dreams of new India.  Our Government, in  its tenure of four and a half years, prepared its schemes keeping in view every  section of the country and implemented it effectively.  Our Government has made  arrangement like housing, insurance, gas connection for the poor and Soil Health  Card for the farmers.  All facilities have been provided to the farmers, students,  people working in unorganised sector, housewives and people belonging to the  working class so as to ensure all-round development of the country.  The  Government has launched Pradhan Mantri Kisan Samman Nidhi Scheme.  Under  this scheme, Rs. 6000/- per year will be provided to those farmers who are having  less than 2 hectares of land holding.  Now India has become the world's sixth  largest economy whose GDP is likely to be around 8%.  2% exemption in loans  will be given to the farmers in case of natural calamities and 3% in case the  farmers who repay their loans on time.  Kamdhenu Yojana has been launched for  the protection of cows.  An amount of 750 crore rupees is likely to be spend on this  scheme.  Bonus, being given to the soldiers of the country, has been increased from  Rs. 3500 to Rs. 7000/-.  The honorarium of all workers, working under Anganwadi  Scheme has been increased by 50%.  Under Ujjwala Scheme gas connections have  been provided to 6 crore people.  'Pradhan Mantri Shram Yogi Maandhan' Pension  scheme will benefit 10 crore workers in the unorganized sector.  Women are the  biggest beneficiaries of Pradhan Mantri Mudra Yojana.  The Government has  made announcement to provide maternity leave of 26 weeks to working employees  of the Central Government.  The Government has made announcement regarding  allocation of 60,000 crore rupees for MGNREGA. The Government will convert  one lakh villages into digital villages over the next five years.  During the last four  and a half years, our Government has run a corruption free Government which is  committed only for development of the country.","Monday, February 11, 2019",Union Budget,M,BJP,Appreciate
1323,SHRI RAMSINH RATHWA,"This is a commendable budget providing  relief to the citizens of the country. I have certain suggestions to make. The  Government has given income tax exemption to citizens having income upto Rs.  five lakh. This exemption should be increased upto to Rs. 7.5 lakh for senior  citizens. Zero percentage GST on health care services should be introduced. Stamp  duty should be scrapped for home buyers since GST is levied on purchase of home.  GST levied at the rate of 12 per cent on houses should be reduced to 5 per cent  GST levied at 5 per cent on advertisements should be scrapped so as to provide  relief to small and medium newspapers. L.T.C. facility should be provided to the  retired Government officials once in four years. The Government should make  efforts to provide one community centre, one hospital and one primary school in  each village. Toll tax should be scrapped by the Government to free the common  man of this burden. Appropriate measures should be taken to make Delhi pollution  free. 0.5 percent income tax inquiry cases should be withdrawn so as to provide  relief to the common man and income tax officials.","Monday, February 11, 2019",Union Budget,M,BJP,Call For Action
